1,Pendiente,1,0000
2,Acura,1,0000
3,Alfa Romeo,1,0000
4,Aston Martin,1,0000
5,Audi,1,0000
6,Austin,1,0000
7,Bentley,1,0000
8,Bugatti,1,0000
9,Cadillac,1,0000
10,Chevrolet,1,0000
11,Citroen,1,0000
12,Dodge,1,0000
13,Ferrari,1,0000
14,Ford,1,0000
15,Honda,1,0000
16,Jaguar,1,0000
17,Jeep,1,0000
18,Lamborghini,1,0000
19,Land Rover,1,0000
20,Lexus,1,0000
21,Lotus,1,0000
22,Man,1,0000
23,Masttreta,1,0000
24,Mazda,1,0000
25,McLaren,1,0000
26,Mercedez-Benz,1,0000
27,MG,1,0000
28,Mitsubishi,1,0000
29,Nissan,1,0000
30,Opel,1,0000
31,Pagani,1,0000
32,Plymouth,1,0000
33,Polaris,1,0000
34,Pontiac,1,0000
35,Porsche,1,0000
36,Renault,1,0000
37,Scania,1,0000
38,Shelby,1,0000
39,Subaru,1,0000
40,Tesla,1,0000
41,Toyota,1,0000
42,Volskwagen,1,0000
43,Volvo,1,0000
